subj_idx,session,block,trial,stimulus,coherence,response,rt,prevstim,prevresp,prev2resp,prev2stim,prev3resp,prev3stim,prevrt
1,1,1,4,-27,27,0,0.483788013458252,-1,1,-1,-1,1,1,0.367121934890747
1,1,1,5,9,9,1,0.484246015548706,-1,-1,1,-1,-1,-1,0.233788013458252
1,1,1,6,3,3,1,0.533806562423706,1,1,-1,-1,1,-1,0.234246015548706
1,1,1,7,27,27,1,0.3504638671875,1,1,1,1,-1,-1,0.283806562423706
1,1,1,8,27,27,1,0.500915050506592,1,1,1,1,1,1,0.1004638671875
1,1,1,9,0,0,0,0.56714391708374,1,1,1,1,1,1,0.250915050506592
1,1,1,10,-81,81,0,0.483842849731445,1,-1,1,1,1,1,0.31714391708374
1,1,1,11,-3,3,0,1.06712794303894,-1,-1,-1,1,1,1,0.233842849731445
1,1,1,12,-27,27,0,0.567131280899048,-1,-1,-1,-1,-1,1,0.81712794303894
1,1,1,13,-3,3,0,1.08377909660339,-1,-1,-1,-1,-1,-1,0.317131280899048
1,1,1,14,-3,3,0,0.417197942733765,-1,-1,-1,-1,-1,-1,0.833779096603394
1,1,1,15,-3,3,0,0.533799648284912,-1,-1,-1,-1,-1,-1,0.167197942733765
1,1,1,16,-9,9,0,0.483818054199219,-1,-1,-1,-1,-1,-1,0.283799648284912
1,1,1,17,-3,3,0,0.400465250015259,-1,-1,-1,-1,-1,-1,0.233818054199219
1,1,1,18,-27,27,0,0.417136192321777,-1,-1,-1,-1,-1,-1,0.150465250015259
1,1,1,19,-27,27,0,0.300492286682129,-1,-1,-1,-1,-1,-1,0.167136192321777
1,1,1,20,-9,9,1,0.600461006164551,-1,-1,-1,-1,-1,-1,0.0504922866821289
1,1,1,21,0,0,0,0.383825063705444,-1,1,-1,-1,-1,-1,0.350461006164551
1,1,1,22,81,81,1,0.250938892364502,1,-1,1,-1,-1,-1,0.133825063705444
1,1,1,23,81,81,1,0.500928163528442,1,1,-1,1,1,-1,0.000938892364501953
1,1,1,24,-27,27,0,0.367132902145386,1,1,1,1,-1,1,0.250928163528442
1,1,1,25,-9,9,1,0.51712703704834,-1,-1,1,1,1,1,0.117132902145386
1,1,1,26,-9,9,0,0.517589092254639,-1,1,-1,-1,1,1,0.26712703704834
1,1,1,27,-81,81,0,0.434244871139526,-1,-1,1,-1,-1,-1,0.267589092254639
1,1,1,28,9,9,1,1.35045289993286,-1,-1,-1,-1,1,-1,0.184244871139526
1,1,1,29,81,81,1,0.600468158721924,1,1,-1,-1,-1,-1,1.10045289993286
1,1,1,30,-81,81,0,0.567663908004761,1,1,1,1,-1,-1,0.350468158721924
1,1,1,31,-81,81,0,0.417601823806763,-1,-1,1,1,1,1,0.317663908004761
1,1,1,32,-3,3,1,0.533793926239014,-1,-1,-1,-1,1,1,0.167601823806763
1,1,1,33,-9,9,0,0.567129850387573,-1,1,-1,-1,-1,-1,0.283793926239014
1,1,1,34,27,27,1,0.483822822570801,-1,-1,1,-1,-1,-1,0.317129850387573
1,1,1,35,-81,81,0,0.567143201828003,1,1,-1,-1,1,-1,0.233822822570801
1,1,1,36,-3,3,1,0.500908851623535,-1,-1,1,1,-1,-1,0.317143201828003
1,1,1,37,9,9,1,0.617125272750854,-1,1,-1,-1,1,1,0.250908851623535
1,1,1,38,9,9,0,0.96759295463562,1,1,1,-1,-1,-1,0.367125272750854
1,1,1,39,9,9,0,0.567598819732666,1,-1,1,1,1,-1,0.71759295463562
1,1,1,40,9,9,1,0.567162990570068,1,-1,-1,1,1,1,0.317598819732666
1,1,1,41,9,9,1,0.550472259521484,1,1,-1,1,-1,1,0.317162990570068
1,1,1,42,-3,3,1,0.617129564285278,1,1,1,1,-1,1,0.300472259521484
1,1,1,43,-27,27,0,0.467599868774414,-1,1,1,1,1,1,0.367129564285278
1,1,1,44,-9,9,0,0.43379282951355,-1,-1,1,-1,1,1,0.217599868774414
1,1,1,45,0,0,1,0.433807611465454,-1,-1,-1,-1,1,-1,0.18379282951355
1,1,1,46,0,0,0,0.884245634078979,1,1,-1,-1,-1,-1,0.183807611465454
1,1,1,47,3,3,0,0.667146921157837,1,-1,1,1,-1,-1,0.634245634078979
1,1,1,48,-9,9,0,0.333804130554199,1,-1,-1,1,1,1,0.417146921157837
1,1,1,49,-81,81,0,0.467162609100342,-1,-1,-1,1,-1,1,0.0838041305541992
1,1,1,50,27,27,1,0.367644071578979,-1,-1,-1,-1,-1,1,0.217162609100342
1,1,1,51,-27,27,0,0.41713809967041,1,1,-1,-1,-1,-1,0.117644071578979
1,1,1,52,-3,3,1,0.633799076080322,-1,-1,1,1,-1,-1,0.16713809967041
1,1,1,53,-81,81,0,0.567128896713257,-1,1,-1,-1,1,1,0.383799076080322
1,1,1,54,-27,27,0,0.667126178741455,-1,-1,1,-1,-1,-1,0.317128896713257
1,1,1,55,-3,3,0,0.617149353027344,-1,-1,-1,-1,1,-1,0.417126178741455
1,1,1,56,81,81,1,0.467120885848999,-1,-1,-1,-1,-1,-1,0.367149353027344
1,1,1,57,27,27,1,0.434247493743896,1,1,-1,-1,-1,-1,0.217120885848999
1,1,1,58,-0,0,0,0.300467014312744,1,1,1,1,-1,-1,0.184247493743896
1,1,1,59,0,0,1,0.868026733398438,-1,-1,1,1,1,1,0.0504670143127441
1,1,1,60,3,3,1,0.567131996154785,1,1,-1,-1,1,1,0.618026733398438
1,1,1,61,81,81,1,0.284255027770996,1,1,1,1,-1,-1,0.317131996154785
1,1,1,62,-0,0,0,0.433897256851196,1,1,1,1,1,1,0.0342550277709961
1,1,1,63,-27,27,0,0.350495100021362,-1,-1,1,1,1,1,0.183897256851196
1,1,1,64,3,3,1,0.667139768600464,-1,-1,-1,-1,1,1,0.100495100021362
1,1,1,65,9,9,0,0.283795833587646,1,1,-1,-1,-1,-1,0.417139768600464
1,1,1,66,9,9,1,0.550455093383789,1,-1,1,1,-1,-1,0.0337958335876465
1,1,1,67,27,27,1,0.300489902496338,1,1,-1,1,1,1,0.300455093383789
1,1,1,68,81,81,1,0.367614507675171,1,1,1,1,-1,1,0.0504899024963379
1,1,1,69,9,9,1,0.484289169311523,1,1,1,1,1,1,0.117614507675171
1,1,1,70,-0,0,1,0.350554943084717,1,1,1,1,1,1,0.234289169311523
1,1,1,71,27,27,1,0.500450134277344,-1,1,1,1,1,1,0.100554943084717
1,1,1,72,81,81,1,0.417589902877808,1,1,1,-1,1,1,0.250450134277344
1,1,1,73,3,3,0,0.517136812210083,1,1,1,1,1,-1,0.167589902877808
1,1,1,74,-27,27,0,0.533804416656494,1,-1,1,1,1,1,0.267136812210083
1,1,1,75,3,3,0,1.3337869644165,-1,-1,-1,1,1,1,0.283804416656494
1,1,1,76,81,81,1,0.484248876571655,1,-1,-1,-1,-1,1,1.0837869644165
1,1,1,77,-0,0,1,0.60045599937439,1,1,-1,1,-1,-1,0.234248876571655
1,1,1,78,27,27,1,0.400949954986572,-1,1,1,1,-1,1,0.35045599937439
1,1,1,79,-9,9,0,0.400459051132202,1,1,1,-1,1,1,0.150949954986572
1,1,1,80,-81,81,0,0.350472927093506,-1,-1,1,1,1,-1,0.150459051132202
1,1,1,81,9,9,1,0.434262990951538,-1,-1,-1,-1,1,1,0.100472927093506
1,1,1,82,3,3,1,0.783785820007324,1,1,-1,-1,-1,-1,0.184262990951538
1,1,1,83,-27,27,0,0.38385796546936,1,1,1,1,-1,-1,0.533785820007324
1,1,1,84,27,27,1,0.617124795913696,-1,-1,1,1,1,1,0.13385796546936
1,1,1,85,-81,81,0,0.317598819732666,1,1,-1,-1,1,1,0.367124795913696
